zip,count,city,state,latitude,longitude
10001,743,New York,NY,40.750742,-73.99653
10002,994,New York,NY,40.71704,-73.987
10003,1336,New York,NY,40.732509,-73.98935
10004,110,New York,NJ,40.699226,-74.04118
10005,235,New York,NY,40.706019,-74.00858
10006,117,New York,NY,40.707904,-74.01342
10007,168,New York,NY,40.714754,-74.00721
10008,2,New York,NY,40.780751,-73.977182
10009,1880,New York,NY,40.727093,-73.97864
10010,964,New York,NY,40.739022,-73.98205
10011,1875,New York,NY,40.741012,-74.00012
10012,732,New York,NY,40.72596,-73.99834
10013,620,New York,NY,40.720666,-74.00526
10014,1259,New York,NY,40.734718,-74.00532
10016,1106,New York,NY,40.74618,-73.97759
10017,347,New York,NY,40.752159,-73.97231
10018,275,New York,NY,40.755101,-73.99337
10019,1250,New York,NY,40.765714,-73.9856
10020,5,New York,NY,40.758667,-73.98024
10021,1284,New York,NY,40.76842,-73.96045
10022,921,New York,NY,40.759015,-73.96732
10023,2050,New York,NY,40.776099,-73.98285
10024,2118,New York,NY,40.786387,-73.97709
10025,2610,New York,NY,40.798502,-73.96811
10026,467,New York,NY,40.802853,-73.95471
10027,768,New York,NY,40.812665,-73.95499
10028,1436,New York,NY,40.776777,-73.9541
10029,1408,New York,NY,40.791586,-73.94575
10030,268,New York,NY,40.818151,-73.94351
10031,533,New York,NY,40.826201,-73.94879
10032,606,New York,NY,40.840686,-73.94154
10033,618,New York,NY,40.848764,-73.93496
10034,586,New York,NY,40.867653,-73.92
10035,474,New York,NY,40.802395,-73.93359
10036,960,New York,NY,40.759511,-73.99019
10037,247,New York,NY,40.813385,-73.93616
10038,589,New York,NY,40.709677,-74.00365
10039,310,New York,NY,40.826181,-73.9371
10040,471,New York,NY,40.858704,-73.92853
10044,172,New York,NY,40.762174,-73.94917
10065,850,New York,NY,40.76,-73.96
10069,233,New York,NY,40.775477,-73.9905
10075,758,New York,NY,40.77,-73.95
10101,3,New York,NY,40.780751,-73.977182
10107,2,New York,NY,40.766429,-73.982728
10108,1,New York,NY,40.780751,-73.977182
10111,1,New York,NY,40.759235,-73.97775
10113,1,New York,NY,40.780751,-73.977182
10116,3,New York,NY,40.780751,-73.977182
10118,1,New York,NY,40.748998,-73.986467
10119,2,New York,NY,40.750824,-73.99289
10125,1,New York,NY,40.780751,-73.977182
10128,1873,New York,NY,40.781894,-73.95039
